time,coin,dir,px,sz,ntl,fee,closedPnl
4/7/2026 - 11:29:55,XRP,Open Short,1.3187,12,15.8244,0.006836,-0.006836
4/7/2026 - 12:12:27,HEMI,Open Long,0.007022,2421,17.000262,0.007344,-0.007344
4/7/2026 - 12:23:06,HEMI,Close Long,0.007026,2421,17.009946,0.007348,0.0023359999999999995
4/7/2026 - 14:14:14,SOL,Close Short,78.95,0.21,16.5795,0.007162,0.106868
4/7/2026 - 14:14:21,LINK,Close Short,8.6639,1.9,16.46141,0.007111,0.132539
4/7/2026 - 14:14:25,ETH,Close Short,2083.1,0.0081,16.873109999999997,0.007289,0.13284100000000001
4/7/2026 - 14:19:45,XRP,Close Short,1.3048,12,15.657599999999999,0.006764,0.160036
4/7/2026 - 14:35:42,HEMI,Open Long,0.007182,2402,17.251164,0.007452,-0.007452
4/7/2026 - 14:46:09,DOGE,Close Short,0.090387,189,17.083143,0.007379,0.039304000000000006
4/7/2026 - 15:33:52,HEMI,Close Long,0.007035,2402,16.89807,0.007299,-0.360393
4/7/2026 - 22:10:55,SOL,Open Long,81.953,0.2,16.390600000000003,0.00708,-0.00708
4/7/2026 - 22:48:16,DOGE,Open Long,0.092165,186,17.142689999999998,0.007405,-0.007405
4/7/2026 - 23:14:46,kPEPE,Open Long,0.00355,4851,17.22105,0.007439,-0.007439
4/7/2026 - 23:20:08,SOL,Close Long,82.448,0.2,16.4896,0.007123,0.091877
4/8/2026 - 00:18:35,ETH,Open Long,2156.7,0.0161,34.72286999999999,0.015,-0.015
4/8/2026 - 00:23:53,DOGE,Close Long,0.093123,186,17.320878,0.007482,0.17070600000000002
4/8/2026 - 00:39:59,MERL,Open Long,0.023594,741,17.483154,0.007552,-0.007552
4/8/2026 - 01:01:06,LINK,Open Long,9.2516,3.8,35.156079999999996,0.015187,-0.015187
4/8/2026 - 01:01:13,XRP,Open Long,1.3755,25,34.387499999999996,0.014855,-0.014855
4/8/2026 - 01:06:33,ETH,Close Long,2215.8,0.0161,35.67438,0.015411,0.936099
4/8/2026 - 01:11:48,AAVE,Open Long,95.84,0.37,35.4608,0.015319,-0.015319
4/8/2026 - 01:17:18,MERL,Close Long,0.023973,741,17.763993,0.007674,0.273165
4/8/2026 - 01:33:02,kPEPE,Close Long,0.003748,4851,18.181548,0.007854,0.9526439999999999
4/8/2026 - 01:38:24,AAVE,Close Long,96.515,0.37,35.71055,0.015426,0.234324
4/8/2026 - 01:38:29,LINK,Close Long,9.3467,3.8,35.51746,0.015343,0.346037
4/8/2026 - 01:43:51,XRP,Close Long,1.3828,25,34.57,0.014934,0.167566
4/8/2026 - 02:10:07,DOGE,Open Long,0.094627,127,12.017629000000001,0.005191,-0.005191
4/8/2026 - 02:10:07,DOGE,Open Long,0.094651,62,5.868362,0.002535,-0.002535
4/8/2026 - 02:15:29,LINK,Open Long,9.2665,3.5,32.43275,0.01401,-0.01401
4/8/2026 - 02:20:51,XRP,Open Long,1.3737,13,17.8581,0.007714,-0.007714
4/8/2026 - 02:26:01,SOL,Open Long,85.026,0.21,17.855459999999997,0.007713,-0.007713
4/8/2026 - 02:26:05,AAVE,Open Long,94.984,0.18,17.097119999999997,0.007385,-0.007385
4/8/2026 - 02:26:15,MERL,Open Long,0.023953,746,17.868938,0.007719,-0.007719
4/8/2026 - 02:31:32,ETH,Open Long,2236.3,0.0079,17.666770000000003,0.007632,-0.007632
4/8/2026 - 02:47:23,kPEPE,Open Long,0.00365,4836,17.6514,0.007625,-0.007625
4/8/2026 - 06:56:07,AAVE,Close Long,95.388,0.18,17.16984,0.007417,0.065303
4/8/2026 - 07:01:35,ETH,Close Long,2240.7,0.0079,17.70153,0.007647,0.027112999999999998
4/8/2026 - 07:54:42,kPEPE,Close Long,0.003703,4836,17.907708,0.007736,0.248572
4/8/2026 - 08:41:07,XRP,Close Long,1.3814,13,17.958199999999998,0.007757,0.092343
4/8/2026 - 11:51:56,ETH,Open Long,2249.1,0.0079,17.76789,0.007675,-0.007675
4/8/2026 - 12:13:10,DOGE,Close Long,0.095123,189,17.978247,0.007766,0.08465500000000001
4/8/2026 - 13:16:58,XRP,Open Long,1.3814,12,16.5768,0.007161,-0.007161
4/8/2026 - 13:38:17,MERL,Close Long,0.023211,746,17.315406,0.00748,-0.5610120000000001
4/8/2026 - 15:34:59,ETH,Close Long,2248.6,0.0079,17.76394,0.007674,-0.011624
4/8/2026 - 16:33:15,SOL,Close Long,82.91,0.21,17.411099999999998,0.007521,-0.451881
4/8/2026 - 16:33:22,LINK,Close Long,9.0053,3.5,31.51855,0.013616,-0.927816
4/8/2026 - 16:54:38,XRP,Close Long,1.3494,12,16.1928,0.006995,-0.390995
4/8/2026 - 21:35:28,DOGE,Open Short,0.092769,218,20.223642,0.008736,-0.008736
4/8/2026 - 21:35:37,MERL,Open Short,0.022644,769,17.413236,0.007522,-0.007522
4/8/2026 - 22:06:28,DOGE,Close Short,0.093126,6,0.558756,0.000241,-0.0023829999999999997
4/8/2026 - 22:06:28,DOGE,Close Short,0.093126,212,19.742712,0.008528,-0.08421200000000001
4/8/2026 - 22:06:28,MERL,Close Short,0.022903,769,17.612407,0.007608,-0.206779
4/9/2026 - 07:41:15,AAVE,Open Short,90.842,0.19,17.25998,0.007456,-0.007456
4/9/2026 - 07:41:19,DOGE,Open Short,0.091589,189,17.310321000000002,0.007478,-0.007478
4/9/2026 - 07:46:49,HEMI,Open Short,0.006975,2489,17.360775,0.007499,-0.007499
4/9/2026 - 08:02:34,AAVE,Close Short,90.312,0.19,17.15928,0.007412,0.093288
